time_s,sponsor,text,ocr_conf,fuzzy,area_pct,cx,cy,bbox
4.0,BULLS,BULLS,0.968,100,0.374,0.179,0.307,"282,300,405,363"
4.0,BULLS,BULLS,1.0,100,3.09,0.208,0.462,"169,429,630,568"
4.0,BARTERCARD,BARTERCARD,1.0,100,0.79,0.203,0.83,"179,877,599,916"
5.0,BULLS,BULLS,0.963,100,0.441,0.177,0.306,"276,294,403,366"
5.0,BULLS,BULLS,1.0,100,3.008,0.206,0.462,"165,431,627,566"
6.0,BULLS,BULLS,0.959,100,0.517,0.176,0.303,"270,287,404,367"
6.0,BULLS,BULLS,1.0,100,3.027,0.204,0.461,"160,430,625,565"
7.0,BULLS,BULLS,0.962,100,0.504,0.173,0.303,"266,288,400,366"
7.0,BULLS,BULLS,1.0,100,3.014,0.203,0.461,"158,430,621,565"
11.0,KLG,KLG,0.954,100,0.039,0.279,0.207,"514,215,559,233"
11.0,AON,AN,0.956,80,0.031,0.612,0.371,"1159,391,1191,411"
12.0,KLG,KLG,0.997,100,0.085,0.211,0.177,"372,178,437,205"
13.0,KLG,KLG,1.0,100,0.117,0.153,0.141,"254,137,332,168"
14.0,KLG,KL,0.819,80,0.155,0.707,0.859,"1323,905,1393,951"
16.0,MCP,mcp,0.969,100,0.114,0.585,0.66,"1087,697,1161,729"
16.0,MCP,mcp,0.908,100,0.177,0.394,0.273,"716,272,796,318"
16.0,KLG,KLG,0.995,100,0.527,0.382,0.469,"668,464,798,548"
16.0,KLG,KLG,0.985,100,0.257,0.43,0.573,"767,596,883,642"
16.0,MCP,mcp,0.983,100,0.116,0.588,0.66,"1096,694,1161,731"
16.0,MCP,mcp,0.902,100,0.125,0.394,0.273,"721,276,791,313"
16.0,KLG,KLG,0.994,100,0.524,0.382,0.47,"671,464,796,551"
16.0,KLG,KLG,0.98,100,0.26,0.429,0.573,"765,596,882,642"
16.0,MCP,mcp,0.953,100,0.107,0.585,0.661,"1087,699,1161,729"
16.0,KLG,KLG,0.918,100,0.395,0.602,0.865,"1091,903,1221,966"
18.0,TOPNOTCH,TOPNOTO,0.926,80,1.252,0.897,0.665,"1574,674,1869,762"
18.0,TOPNOTCH,TOPNOTO,0.932,80,1.309,0.897,0.665,"1574,672,1869,764"
27.0,FAIRWAY,FAIRWAY,1.0,100,0.187,0.832,0.227,"1535,230,1660,261"
28.0,FAIRWAY,FAIRWAY,1.0,100,0.214,0.844,0.218,"1557,218,1684,253"
36.0,KLG,KLG,1.0,100,0.366,0.332,0.639,"572,661,703,719"
36.0,AON,AON,0.941,100,0.094,0.366,0.715,"672,757,735,788"
36.0,KLG,KLG,1.0,100,0.413,0.332,0.638,"569,658,705,721"
36.0,AON,AON,0.972,100,0.108,0.367,0.714,"672,754,736,789"
37.0,KLG,KLG,0.801,100,0.305,0.224,0.639,"372,663,487,718"
