epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4874,1.99566,17.8524,0.00388,0.00899,0.07027,0.00415,0.00208,1.39318,5.65999,0.00247,0.000150348,0.000150348,0.000150348
2,55.7698,1.46774,10.9969,0.00256,0.96397,0.06324,0.14587,0.08156,1.4251,3.11882,0.00255,0.000301982,0.000301982,0.000301982
3,74.9344,1.4665,7.15502,0.00256,0.73075,0.21922,0.30268,0.16596,1.46519,2.397,0.00271,0.000453484,0.000453484,0.000453484
4,94.1679,1.52079,5.63362,0.00274,0.67802,0.30759,0.38809,0.23429,1.48147,2.1217,0.00269,0.000454556,0.000454556,0.000454556
5,113.603,1.46618,4.13018,0.00266,0.44622,0.54102,0.55018,0.34561,1.44577,1.72194,0.00261,0.00045421,0.00045421,0.00045421
6,132.684,1.47304,3.12038,0.00265,0.46224,0.62132,0.58348,0.36921,1.46778,1.33209,0.00267,0.000453766,0.000453766,0.000453766
7,152.048,1.44404,2.60399,0.00251,0.53176,0.62821,0.60502,0.39271,1.45945,1.18977,0.00261,0.000453224,0.000453224,0.000453224
8,171.325,1.49831,2.35188,0.00257,0.5771,0.64242,0.66225,0.41126,1.46906,1.1661,0.00273,0.000452584,0.000452584,0.000452584
9,190.929,1.42704,1.87514,0.00254,0.76433,0.59191,0.70716,0.44393,1.43543,1.09919,0.00256,0.000451846,0.000451846,0.000451846
10,210.146,1.39011,1.70462,0.00243,0.70832,0.73534,0.74665,0.48455,1.42925,0.92795,0.00256,0.000451011,0.000451011,0.000451011
11,229.622,1.45023,1.55286,0.00263,0.64261,0.71284,0.76961,0.48968,1.47852,0.89452,0.0027,0.000450078,0.000450078,0.000450078
12,248.901,1.38717,1.41221,0.00256,0.71931,0.7178,0.78253,0.51539,1.41196,0.88829,0.00256,0.000449049,0.000449049,0.000449049
13,268.447,1.36143,1.41812,0.00241,0.68442,0.68545,0.74309,0.47509,1.42848,0.92888,0.00258,0.000447924,0.000447924,0.000447924
14,287.403,1.369,1.29559,0.00262,0.66713,0.7633,0.7347,0.48151,1.37123,0.977,0.0025,0.000446703,0.000446703,0.000446703
15,306.404,1.37866,1.27062,0.0025,0.69469,0.71491,0.79651,0.50999,1.42358,0.9237,0.00259,0.000445387,0.000445387,0.000445387
16,325.226,1.33412,1.23469,0.0024,0.66293,0.74936,0.78957,0.50584,1.45301,0.85289,0.00261,0.000443977,0.000443977,0.000443977
17,344.079,1.35443,1.08433,0.00256,0.57679,0.78049,0.78693,0.49606,1.484,0.97933,0.00271,0.000442472,0.000442472,0.000442472
18,362.824,1.27027,1.04976,0.00218,0.73128,0.70098,0.79631,0.51975,1.37473,0.7729,0.0025,0.000440874,0.000440874,0.000440874
19,382.128,1.2779,0.94913,0.0022,0.62235,0.7843,0.77038,0.49192,1.43849,0.81887,0.00261,0.000439184,0.000439184,0.000439184
20,400.877,1.26509,0.89453,0.00217,0.66209,0.76373,0.77777,0.48589,1.47295,0.82548,0.00268,0.000437402,0.000437402,0.000437402
21,419.748,1.26371,0.92217,0.00208,0.68991,0.72429,0.79416,0.5105,1.43734,0.76799,0.0026,0.000435528,0.000435528,0.000435528
22,438.491,1.26427,0.88523,0.00233,0.75759,0.73105,0.79177,0.50996,1.39569,0.82129,0.00251,0.000433565,0.000433565,0.000433565
23,457.248,1.23214,0.88083,0.00234,0.68487,0.76931,0.80915,0.52151,1.3995,0.80387,0.0025,0.000431512,0.000431512,0.000431512
24,476.365,1.20367,0.83869,0.00214,0.62086,0.82195,0.75946,0.48493,1.42798,0.77032,0.00255,0.00042937,0.00042937,0.00042937
25,494.933,1.2166,0.82751,0.00231,0.68206,0.76099,0.7832,0.51009,1.39683,0.7987,0.00253,0.000427141,0.000427141,0.000427141
26,513.745,1.25686,0.76676,0.00227,0.63559,0.83576,0.7926,0.51353,1.44424,0.75997,0.00262,0.000424826,0.000424826,0.000424826
27,532.675,1.22284,0.79433,0.00233,0.71131,0.77245,0.78969,0.50508,1.43631,0.84134,0.00261,0.000422424,0.000422424,0.000422424
28,551.747,1.21154,0.77172,0.00217,0.60914,0.83484,0.78895,0.49896,1.44679,0.85074,0.00264,0.000419939,0.000419939,0.000419939
29,570.615,1.2544,0.75217,0.00214,0.71142,0.85054,0.82006,0.52364,1.40518,0.67812,0.00253,0.00041737,0.00041737,0.00041737
30,589.642,1.16266,0.69866,0.00218,0.65196,0.83175,0.81813,0.51461,1.41494,0.75503,0.00259,0.000414718,0.000414718,0.000414718
31,609.062,1.20032,0.71841,0.00207,0.70055,0.76914,0.81205,0.51416,1.4506,0.81607,0.00266,0.000411986,0.000411986,0.000411986
32,627.888,1.21808,0.695,0.00222,0.66874,0.76439,0.8084,0.52718,1.42507,0.74859,0.00255,0.000409173,0.000409173,0.000409173
33,646.737,1.19943,0.68151,0.00201,0.71715,0.76001,0.80606,0.52714,1.41365,0.76537,0.00253,0.000406282,0.000406282,0.000406282
34,665.535,1.16371,0.65198,0.00202,0.67269,0.81754,0.8067,0.50443,1.42505,0.82129,0.00255,0.000403314,0.000403314,0.000403314
35,684.116,1.13256,0.62318,0.0021,0.67604,0.76535,0.80739,0.52149,1.3872,0.81281,0.00248,0.000400269,0.000400269,0.000400269
36,702.902,1.12362,0.63833,0.00195,0.69421,0.80261,0.8064,0.52065,1.41211,0.82239,0.00256,0.00039715,0.00039715,0.00039715
37,721.426,1.10877,0.62378,0.00195,0.68309,0.78473,0.78158,0.52431,1.39126,0.77361,0.00252,0.000393957,0.000393957,0.000393957
38,740.306,1.10199,0.60175,0.0021,0.67176,0.83468,0.81756,0.55099,1.40606,0.72016,0.00253,0.000390692,0.000390692,0.000390692
39,759.288,1.13627,0.64864,0.00202,0.66881,0.83449,0.81679,0.54204,1.36325,0.75499,0.00242,0.000387357,0.000387357,0.000387357
40,778.049,1.12001,0.61666,0.00199,0.76081,0.75308,0.8431,0.54341,1.38176,0.71123,0.0025,0.000383952,0.000383952,0.000383952
41,796.665,1.05598,0.55736,0.00186,0.84357,0.71277,0.84152,0.55238,1.36647,0.72468,0.00247,0.00038048,0.00038048,0.00038048
42,815.642,1.07737,0.55046,0.00194,0.68281,0.7979,0.81909,0.54668,1.39055,0.77779,0.00249,0.000376942,0.000376942,0.000376942
43,834.287,1.10724,0.58428,0.00197,0.68614,0.86285,0.82419,0.56595,1.35564,0.6979,0.00245,0.000373339,0.000373339,0.000373339
44,853.309,1.08562,0.51615,0.00194,0.7277,0.75634,0.84151,0.57615,1.35322,0.69364,0.00244,0.000369673,0.000369673,0.000369673
45,872.304,1.07785,0.55884,0.00184,0.74611,0.7682,0.82395,0.53904,1.40354,0.74997,0.00254,0.000365946,0.000365946,0.000365946
46,890.94,1.04596,0.49121,0.00187,0.67661,0.81168,0.81291,0.55524,1.31199,0.8084,0.00236,0.000362159,0.000362159,0.000362159
47,909.734,1.04437,0.48787,0.00176,0.6996,0.81473,0.81567,0.55559,1.35838,0.74187,0.00243,0.000358314,0.000358314,0.000358314
48,928.554,1.04589,0.54776,0.00186,0.73089,0.80313,0.82283,0.55429,1.367,0.75566,0.00246,0.000354413,0.000354413,0.000354413
49,947.085,1.03715,0.51693,0.00181,0.75271,0.84317,0.85338,0.56763,1.35472,0.68674,0.00245,0.000350457,0.000350457,0.000350457
